Surface tot agrumes en m2;Commune
64694,82108;BRAS-PANON
27240,47202;SAINT ANDRE
48519,28466;SAINTE SUZANNE
0;SAINTE MARIE
269764,0295;SAINT JOSEPH
20715,1407;SAINT PHILIPPE
11321,78718;SAINTE ROSE
197127,8561;SAINT BENOIT
78604,046;SAINT LOUIS
441019,8755;LE TAMPON
299940,8477;SAINT PIERRE
390616,092;PETITE ILE
46957,45034;LES AVIRONS
68875,55643;ETANG-SALE
21289,45738;CILAOS
68300,22448;ENTRE-DEUX
0;LE PORT
528019,1975;SAINT PAUL
2219,47;TROIS-BASSINS
36651,23956;SAINT LEU
0;SAINT DENIS
0;LA POSSESSION
376841,2534;SALAZIE
0;PLAINE DES PALMISTES
;
